epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.57085,1.37266,2.66529,1.28581,0.71333,0.12783,0.31515,0.21348,1.04909,2.59379,1.05258,0.000361075,0.000361075,0.000361075
2,12.1033,0.93122,1.31633,1.03926,0.70412,0.53352,0.54759,0.39799,0.8563,1.4025,1.00478,0.000716926,0.000716926,0.000716926
3,17.5752,0.86866,1.13542,0.99873,0.34831,0.56201,0.43273,0.30227,0.92667,2.054,1.02906,0.00105811,0.00105811,0.00105811
4,23.0125,0.80128,1.00997,0.96922,0.60404,0.62638,0.66293,0.51303,0.81381,1.37164,0.96246,0.00104501,0.00104501,0.00104501
5,28.5058,0.77997,0.95807,0.95636,0.78107,0.54139,0.62029,0.45849,0.79003,1.12752,0.93596,0.00102301,0.00102301,0.00102301
6,34.9878,0.73174,0.89351,0.93477,0.72302,0.68591,0.77614,0.59655,0.72659,0.94283,0.91627,0.00100101,0.00100101,0.00100101
7,41.7377,0.74295,0.88469,0.93147,0.7448,0.77275,0.8181,0.64109,0.69929,0.93781,0.91268,0.000979013,0.000979013,0.000979013
8,48.511,0.69958,0.83321,0.92227,0.74131,0.77278,0.80096,0.67382,0.63044,0.92454,0.89309,0.000957015,0.000957015,0.000957015
9,55.2515,0.68225,0.80116,0.91738,0.79095,0.74266,0.83775,0.64393,0.66642,0.80841,0.90459,0.000935018,0.000935018,0.000935018
10,61.9437,0.66436,0.7803,0.91577,0.78694,0.71494,0.81786,0.66284,0.6437,0.869,0.89375,0.00091302,0.00091302,0.00091302
11,68.6994,0.66348,0.7762,0.91122,0.85575,0.77811,0.85249,0.70129,0.59632,0.77416,0.88226,0.000891022,0.000891022,0.000891022
12,75.3537,0.64236,0.7506,0.91191,0.84983,0.81231,0.86601,0.71139,0.60013,0.72098,0.8848,0.000869024,0.000869024,0.000869024
13,80.8683,0.64477,0.72004,0.90324,0.82446,0.78928,0.85808,0.71729,0.57664,0.73022,0.88508,0.000847026,0.000847026,0.000847026
14,86.3192,0.61495,0.69219,0.90043,0.80107,0.80914,0.8683,0.7359,0.58705,0.7027,0.88354,0.000825029,0.000825029,0.000825029
15,91.7933,0.62269,0.69373,0.89693,0.88536,0.80063,0.87233,0.72726,0.6066,0.68535,0.88071,0.000803031,0.000803031,0.000803031
16,97.3422,0.63648,0.687,0.89847,0.81369,0.77789,0.84005,0.69662,0.63124,0.85872,0.88816,0.000781033,0.000781033,0.000781033
17,103.738,0.6013,0.6542,0.89,0.91535,0.84713,0.90945,0.7849,0.56475,0.62461,0.85438,0.000759035,0.000759035,0.000759035
18,110.58,0.59539,0.64196,0.88751,0.84796,0.80078,0.87288,0.74696,0.55831,0.89734,0.87177,0.000737037,0.000737037,0.000737037
19,117.374,0.59387,0.63751,0.88444,0.91389,0.83937,0.9082,0.78483,0.53859,0.58054,0.85954,0.00071504,0.00071504,0.00071504
20,124.078,0.59441,0.62848,0.88922,0.89255,0.83078,0.89809,0.76789,0.53761,0.59235,0.86112,0.000693042,0.000693042,0.000693042
21,129.504,0.56596,0.6005,0.87686,0.86678,0.87935,0.91577,0.79742,0.51268,0.5554,0.85811,0.000671044,0.000671044,0.000671044
22,134.875,0.5603,0.58762,0.87905,0.90102,0.87043,0.93189,0.80616,0.50538,0.54591,0.8518,0.000649046,0.000649046,0.000649046
23,140.264,0.55638,0.59111,0.87729,0.91766,0.85321,0.92975,0.81185,0.50874,0.56382,0.85649,0.000627048,0.000627048,0.000627048
24,145.705,0.54401,0.56856,0.87349,0.89412,0.8094,0.89609,0.77982,0.51182,0.5652,0.85588,0.000605051,0.000605051,0.000605051
25,151.199,0.54753,0.57421,0.87544,0.91516,0.85767,0.9174,0.79253,0.51469,0.56114,0.8518,0.000583053,0.000583053,0.000583053
26,156.719,0.54494,0.57453,0.87141,0.91147,0.88291,0.9304,0.80772,0.5214,0.54112,0.85539,0.000561055,0.000561055,0.000561055
27,162.22,0.54455,0.55617,0.86724,0.86666,0.88063,0.9248,0.79844,0.49792,0.5314,0.84925,0.000539057,0.000539057,0.000539057
28,168.642,0.54444,0.55127,0.87428,0.87786,0.83908,0.912,0.79871,0.51006,0.65725,0.85158,0.000517059,0.000517059,0.000517059
29,175.38,0.53461,0.55048,0.86925,0.91641,0.85704,0.92296,0.81721,0.48744,0.53651,0.85407,0.000495062,0.000495062,0.000495062
30,182.137,0.54467,0.55854,0.8753,0.91822,0.86405,0.92388,0.80631,0.4848,0.5476,0.83972,0.000473064,0.000473064,0.000473064
31,188.874,0.49997,0.53382,0.86659,0.92005,0.89289,0.9432,0.82819,0.48287,0.50697,0.8441,0.000451066,0.000451066,0.000451066
32,195.631,0.51361,0.53052,0.86615,0.89882,0.8728,0.92606,0.8144,0.48744,0.51323,0.84334,0.000429068,0.000429068,0.000429068
33,202.432,0.52313,0.53426,0.86789,0.89327,0.84991,0.92498,0.81586,0.48869,0.51922,0.84849,0.00040707,0.00040707,0.00040707
34,209.178,0.50484,0.5118,0.86827,0.92262,0.89324,0.93759,0.81767,0.49222,0.46709,0.8487,0.000385073,0.000385073,0.000385073
